Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2016-08-15,20.7302303314209,24.440000534057617,24.670000076293945,24.3700008392334,24.60333251953125,28908300,WMT
2016-08-16,20.608657836914062,24.296667098999023,24.43666648864746,24.06999969482422,24.196666717529297,29289900,WMT
2016-08-17,20.619964599609375,24.309999465942383,24.316667556762695,23.996667861938477,23.996667861938477,43029900,WMT
2016-08-18,21.00731086730957,24.766666412353516,25.06333351135254,24.309999465942383,24.309999465942383,80574900,WMT
2016-08-19,20.58603858947754,24.270000457763672,24.76333236694336,24.22333335876465,24.700000762939453,46039200,WMT
2016-08-22,20.554935455322266,24.233333587646484,24.3799991607666,24.149999618530273,24.35333251953125,30936300,WMT
2016-08-23,20.348533630371094,23.989999771118164,24.356666564941406,23.98666763305664,24.296667098999023,28174200,WMT
2016-08-24,20.422046661376953,24.07666778564453,24.25,23.920000076293945,23.989999771118164,30152100,WMT
2016-08-25,20.136484146118164,23.739999771118164,24.19333267211914,23.683332443237305,24.123332977294922,31542600,WMT
2016-08-26,20.113866806030273,23.713333129882812,23.89666748046875,23.6299991607666,23.803333282470703,30115500,WMT
2016-08-29,20.187368392944336,23.799999237060547,23.886667251586914,23.700000762939453,23.713333129882812,22404300,WMT
2016-08-30,20.161937713623047,23.770000457763672,23.920000076293945,23.71666717529297,23.799999237060547,17322600,WMT
2016-08-31,20.19868278503418,23.81333351135254,23.8799991607666,23.71666717529297,23.81999969482422,18934800,WMT
2016-09-01,20.594514846801758,24.280000686645508,24.286666870117188,23.803333282470703,23.856666564941406,35284200,WMT
2016-09-02,20.498388290405273,24.166667938232422,24.39666748046875,24.139999389648438,24.329999923706055,24248700,WMT
2016-09-06,20.639755249023438,24.333332061767578,24.360000610351562,24.066667556762695,24.253332138061523,28712700,WMT
2016-09-07,20.373977661132812,24.020000457763672,24.350000381469727,24.003332138061523,24.333332061767578,28854900,WMT
2016-09-08,20.308950424194336,23.94333267211914,24.106666564941406,23.90333366394043,23.963333129882812,28983600,WMT
2016-09-09,19.876371383666992,23.433332443237305,23.836666107177734,23.433332443237305,23.773332595825195,36517800,WMT
2016-09-12,20.34004783630371,23.979999542236328,24.079999923706055,23.573333740234375,23.59666633605957,32592000,WMT
2016-09-13,20.204336166381836,23.81999969482422,23.969999313354492,23.71666717529297,23.946666717529297,22523700,WMT
2016-09-14,20.221303939819336,23.84000015258789,24.020000457763672,23.799999237060547,23.873332977294922,20941500,WMT
2016-09-15,20.470115661621094,24.133333206176758,24.18666648864746,23.753332138061523,23.82666778564453,21886800,WMT
2016-09-16,20.602996826171875,24.290000915527344,24.31999969482422,24.073333740234375,24.106666564941406,41807100,WMT
2016-09-19,20.38246726989746,24.030000686645508,24.290000915527344,24.030000686645508,24.213333129882812,20762100,WMT
2016-09-20,20.348533630371094,23.989999771118164,24.183332443237305,23.96666717529297,24.049999237060547,17731800,WMT
2016-09-21,20.410734176635742,24.06333351135254,24.18000030517578,23.836666107177734,24.059999465942383,20027700,WMT
2016-09-22,20.433353424072266,24.09000015258789,24.18000030517578,23.996667861938477,24.143333435058594,17615700,WMT
2016-09-23,20.455976486206055,24.116666793823242,24.25666618347168,24.113332748413086,24.200000762939453,23089200,WMT
2016-09-26,20.249576568603516,23.873332977294922,24.110000610351562,23.84000015258789,24.10333251953125,17846100,WMT
2016-09-27,20.4503173828125,24.110000610351562,24.163333892822266,23.860000610351562,23.976667404174805,19033200,WMT
2016-09-28,20.297643661499023,23.93000030517578,24.106666564941406,23.793333053588867,24.073333740234375,18554700,WMT
2016-09-29,19.997941970825195,23.57666778564453,23.90333366394043,23.540000915527344,23.856666564941406,23990400,WMT
2016-09-30,20.390947341918945,24.040000915527344,24.15333366394043,23.799999237060547,23.833332061767578,29947800,WMT
2016-10-03,20.359840393066406,24.003332138061523,24.049999237060547,23.866666793823242,23.94333267211914,17573100,WMT
2016-10-04,20.286331176757812,23.916667938232422,24.190000534057617,23.850000381469727,24.0,19707900,WMT
2016-10-05,20.263713836669922,23.889999389648438,24.09000015258789,23.866666793823242,23.956666946411133,19393200,WMT
2016-10-06,19.610595703125,23.1200008392334,23.889999389648438,22.963333129882812,23.889999389648438,60330900,WMT
2016-10-07,19.423986434936523,22.899999618530273,23.156667709350586,22.72333335876465,23.086666107177734,37961400,WMT
2016-10-10,19.220417022705078,22.65999984741211,22.98666763305664,22.583332061767578,22.916667938232422,26965200,WMT
2016-10-11,19.053598403930664,22.463333129882812,22.65333366394043,22.433332443237305,22.649999618530273,25774500,WMT
2016-10-12,19.073392868041992,22.48666763305664,22.636667251586914,22.456666946411133,22.579999923706055,26822100,WMT
2016-10-13,19.291101455688477,22.74333381652832,22.84666633605957,22.356666564941406,22.39666748046875,27581400,WMT
