Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2016-08-15,120.07820129394531,141.6199951171875,143.11000061035156,141.49000549316406,142.9600067138672,2369600,UNH
2016-08-16,119.62036895751953,141.0800018310547,141.6199951171875,140.3300018310547,141.14999389648438,1688500,UNH
2016-08-17,120.15453338623047,141.7100067138672,141.91000366210938,140.66000366210938,141.2899932861328,1849100,UNH
2016-08-18,120.54456329345703,142.1699981689453,142.83999633789062,141.27000427246094,141.6699981689453,1572700,UNH
2016-08-19,120.4343490600586,142.0399932861328,142.25,141.22000122070312,141.64999389648438,1950200,UNH
2016-08-22,120.47675323486328,142.08999633789062,143.0,141.7100067138672,142.11000061035156,1587900,UNH
2016-08-23,120.40885925292969,142.00999450683594,142.8699951171875,141.75,142.72999572753906,2295500,UNH
2016-08-24,118.59442901611328,139.8699951171875,142.0800018310547,139.50999450683594,142.0,2529800,UNH
2016-08-25,116.41531372070312,137.3000030517578,139.75,137.02999877929688,139.75,3891000,UNH
2016-08-26,115.8387680053711,136.6199951171875,138.3000030517578,135.99000549316406,137.6699981689453,3082400,UNH
2016-08-29,116.38990020751953,137.27000427246094,138.0399932861328,136.47999572753906,137.1999969482422,2315900,UNH
2016-08-30,116.05074310302734,136.8699951171875,137.69000244140625,136.24000549316406,137.27000427246094,2026600,UNH
2016-08-31,115.35552978515625,136.0500030517578,136.82000732421875,135.5500030517578,136.5500030517578,2837300,UNH
2016-09-01,115.0926513671875,135.74000549316406,136.97999572753906,135.35000610351562,136.82000732421875,2765400,UNH
2016-09-02,115.83026885986328,136.61000061035156,136.77999877929688,135.75999450683594,136.5,2390500,UNH
2016-09-06,115.28765106201172,135.97000122070312,136.85000610351562,135.6300048828125,136.6199951171875,2242400,UNH
2016-09-07,114.98523712158203,134.99000549316406,135.9600067138672,134.1999969482422,135.0,2816300,UNH
2016-09-08,115.3685531616211,135.44000244140625,135.6199951171875,134.41000366210938,134.47000122070312,2826700,UNH
