2026-08-14 18:39:55,941 | INFO | __main__ | Processing INTU...
2026-08-14 18:39:55,941 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for INTU...
2026-08-14 18:39:56,933 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\INTU_stock.csv
2026-08-14 18:39:56,974 | INFO | __main__ | Processing AMAT...
2026-08-14 18:39:56,974 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AMAT...
2026-08-14 18:39:57,794 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AMAT_stock.csv
2026-08-14 18:39:57,843 | INFO | __main__ | Processing JPM...
2026-08-14 18:39:57,843 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for JPM...
2026-08-14 18:39:58,934 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\JPM_stock.csv
2026-08-14 18:39:58,984 | INFO | __main__ | Processing BAC...
2026-08-14 18:39:58,984 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BAC...
2026-08-14 18:39:59,903 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\BAC_stock.csv
2026-08-14 18:39:59,954 | INFO | __main__ | Processing WFC...
2026-08-14 18:39:59,954 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for WFC...
2026-08-14 18:40:00,921 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\WFC_stock.csv
2026-08-14 18:40:00,975 | INFO | __main__ | Processing C...
2026-08-14 18:40:00,975 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for C...
2026-08-14 18:40:01,885 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\C_stock.csv
2026-08-14 18:40:01,929 | INFO | __main__ | Processing GS...
2026-08-14 18:40:01,929 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for GS...
2026-08-14 18:40:02,638 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\GS_stock.csv
2026-08-14 18:40:02,685 | INFO | __main__ | Processing MS...
2026-08-14 18:40:02,686 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MS...
2026-08-14 18:40:03,542 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MS_stock.csv
2026-08-14 18:40:03,590 | INFO | __main__ | Processing BLK...
2026-08-14 18:40:03,591 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BLK...
2026-08-14 18:40:04,553 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\BLK_stock.csv
2026-08-14 18:40:04,616 | INFO | __main__ | Processing SCHW...
2026-08-14 18:40:04,616 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for SCHW...
2026-08-14 18:40:05,464 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\SCHW_stock.csv
2026-08-14 18:40:05,511 | INFO | __main__ | Processing USB...
2026-08-14 18:40:05,511 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for USB...
2026-08-14 18:40:06,497 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\USB_stock.csv
2026-08-14 18:40:06,554 | INFO | __main__ | Processing PNC...
2026-08-14 18:40:06,554 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for PNC...
2026-08-14 18:40:08,324 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\PNC_stock.csv
2026-08-14 18:40:08,392 | INFO | __main__ | Processing AXP...
2026-08-14 18:40:08,392 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AXP...
2026-08-14 18:40:09,271 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AXP_stock.csv
2026-08-14 18:40:09,333 | INFO | __main__ | Processing COF...
2026-08-14 18:40:09,334 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for COF...
2026-08-14 18:40:10,191 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\COF_stock.csv
2026-08-14 18:40:10,236 | INFO | __main__ | Processing BK...
2026-08-14 18:40:10,237 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BK...
2026-08-14 18:40:13,693 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: BK"}}}
2026-08-14 18:40:15,822 | ERROR | yfinance | $BK: No data found, symbol may be delisted
2026-08-14 18:40:15,831 | ERROR | yfinance | 
1 Failed download:
2026-08-14 18:40:15,831 | ERROR | yfinance | ['BK']: No data found, symbol may be delisted
2026-08-14 18:40:15,839 | WARNING | stock_pipeline.extract.yahoo_finance | No data returned for BK (attempt 1/3)
