Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA5,MA20
2016-08-15,99.75222778320312,118.02999877929688,118.2300033569336,116.87999725341797,116.87999725341797,551400,LIN,,,
2016-08-16,102.49047088623047,121.2699966430664,125.0,121.08999633789062,123.02999877929688,5935800,LIN,2.745063032515982,,
2016-08-17,101.78902435302734,120.44000244140625,120.98999786376953,119.06999969482422,120.95999908447266,2264800,LIN,-0.6844184255262009,,
2016-08-18,103.01448059082031,121.88999938964844,121.91000366210938,120.30000305175781,120.44000244140625,1073500,LIN,1.2039164055543727,,
2016-08-19,103.58070373535156,122.55999755859375,122.75,120.61000061035156,121.3499984741211,2162200,LIN,0.5496744378540086,120.83799896240234,
2016-08-22,103.47086334228516,122.43000030517578,122.66999816894531,121.80000305175781,122.12999725341797,875400,LIN,-0.10606825718629809,121.71799926757812,
2016-08-23,103.48774719238281,122.44999694824219,123.33999633789062,122.05000305175781,122.91999816894531,708000,LIN,0.01633312343098936,121.95399932861328,
2016-08-24,103.18350982666016,122.08999633789062,122.30000305175781,121.05000305175781,121.22000122070312,795700,LIN,-0.2939980557971955,122.28399810791015,
2016-08-25,103.98638153076172,123.04000091552734,123.06999969482422,121.8499984741211,121.98999786376953,967300,LIN,0.7781182784275975,122.51399841308594,
2016-08-26,102.95530700683594,121.81999969482422,123.55000305175781,121.36000061035156,123.37999725341797,1006600,LIN,-0.9915484489801951,122.36599884033203,
2016-08-29,103.31873321533203,122.25,122.7699966430664,121.9000015258789,121.9000015258789,727700,LIN,0.35298005766950524,122.32999877929687,
2016-08-30,103.54690551757812,122.5199966430664,122.91000366210938,122.05000305175781,122.44000244140625,654000,LIN,0.2208561497475614,122.34399871826172,
2016-08-31,103.14125061035156,122.04000091552734,122.47000122070312,121.4000015258789,122.3499984741211,844600,LIN,-0.3917692953725904,122.33399963378906,
2016-09-01,103.82582092285156,122.8499984741211,123.0,121.94000244140625,122.2699966430664,1224300,LIN,0.6637148086834355,122.2959991455078,
2016-09-02,104.32444763183594,123.44000244140625,123.66999816894531,122.9000015258789,123.04000091552734,489600,LIN,0.48026371559901637,122.61999969482422,
2016-09-06,103.8737564086914,122.16000366210938,123.36000061035156,121.81999969482422,122.80000305175781,787200,LIN,-1.0369400145665564,122.6020004272461,
2016-09-07,103.94178771972656,122.23999786376953,122.5199966430664,121.4000015258789,121.86000061035156,731300,LIN,0.06548313626562052,122.54600067138672,
2016-09-08,102.52178192138672,120.56999969482422,122.41999816894531,120.38999938964844,122.2699966430664,1032100,LIN,-1.3661634474228634,122.25200042724609,
2016-09-09,99.8348388671875,117.41000366210938,120.23999786376953,117.41000366210938,120.23999786376953,1373500,LIN,-2.620880849890639,121.16400146484375,
2016-09-12,100.78717041015625,118.52999877929688,119.30000305175781,115.61000061035156,116.08000183105469,4768200,LIN,0.9539179646145923,120.18200073242187,121.50149955749512
2016-09-13,100.33647918701172,118.0,120.06999969482422,116.0199966430664,117.4000015258789,3575700,LIN,-0.4471431576437701,119.35,121.49999961853027
2016-09-14,99.35014343261719,116.83999633789062,118.37999725341797,116.38999938964844,118.23999786376953,1676300,LIN,-0.9830539509401492,118.26999969482422,121.27849960327148
2016-09-15,100.51507568359375,118.20999908447266,118.70999908447266,116.23999786376953,116.4000015258789,1438900,LIN,1.1725460369068408,117.79799957275391,121.1669994354248
2016-09-16,100.06440734863281,117.68000030517578,118.18000030517578,117.05000305175781,117.75,1597700,LIN,-0.448353593944395,117.85199890136718,120.95649948120118
2016-09-19,100.17493438720703,117.80999755859375,118.70999908447266,117.77999877929688,118.18000030517578,846800,LIN,0.11046673443309007,117.70799865722657,120.71899948120117
2016-09-20,100.00486755371094,117.61000061035156,119.0,117.56999969482422,118.66000366210938,777900,LIN,-0.1697622887588235,117.62999877929687,120.47799949645996
2016-09-21,100.33647918701172,118.0,118.41000366210938,117.31999969482422,118.16000366210938,1558300,LIN,0.3316039347202482,117.86199951171875,120.25549964904785
2016-09-22,100.651123046875,118.37000274658203,119.22000122070312,117.88999938964844,119.0,1247200,LIN,0.31356164964579936,117.89400024414063,120.06949996948242
2016-09-23,99.35014343261719,116.83999633789062,118.2699966430664,116.5999984741211,117.94000244140625,1558200,LIN,-1.2925626199122409,117.72599945068359,119.75949974060059
2016-09-26,99.00152587890625,116.43000030517578,117.4000015258789,116.37000274658203,116.76000213623047,1477400,LIN,-0.3509038390665187,117.45,119.48999977111816
2016-09-27,99.48619842529297,117.0,117.33000183105469,116.3499984741211,116.43000030517578,965400,LIN,0.4895642818261603,117.32799987792968,119.22749977111816
2016-09-28,100.63408660888672,118.3499984741211,119.5,117.7300033569336,118.55000305175781,2086300,LIN,1.1538448496761555,117.3979995727539,119.0189998626709
2016-09-29,101.06775665283203,118.86000061035156,119.83999633789062,118.41000366210938,118.58999633789062,1648500,LIN,0.43092703236662366,117.49599914550781,118.85999984741211
2016-09-30,102.74284362792969,120.83000183105469,121.16999816894531,118.98999786376953,119.5199966430664,1698300,LIN,1.6574130999386538,118.29400024414062,118.75900001525879
2016-10-03,103.09149169921875,121.23999786376953,121.56999969482422,119.83000183105469,120.36000061035156,1708300,LIN,0.3393164168681517,119.25599975585938,118.64899978637695
2016-10-04,102.34320831298828,120.36000061035156,122.0,120.19000244140625,121.30000305175781,1346300,LIN,-0.7258308057764618,119.9279998779297,118.55899963378906
2016-10-05,102.34320831298828,120.36000061035156,121.31999969482422,120.0999984741211,121.0999984741211,918100,LIN,0.0,120.33000030517579,118.46499977111816
2016-10-06,102.7598876953125,120.8499984741211,121.0199966430664,119.94000244140625,120.0999984741211,913200,LIN,0.40711022040937905,120.72799987792969,118.478999710083
2016-10-07,101.05924987792969,118.8499984741211,121.16000366210938,118.31999969482422,121.16000366210938,1126100,LIN,-1.6549441665307807,120.33199920654297,118.55099945068359
2016-10-10,100.99124145507812,118.7699966430664,120.06999969482422,118.70999908447266,120.06999969482422,733700,LIN,-0.06731327899184292,119.83799896240234,118.56299934387206
2016-10-11,99.59671783447266,117.12999725341797,118.41999816894531,116.33000183105469,118.36000061035156,1095800,LIN,-1.3808195975428483,119.19199829101562,118.51949920654297
2016-10-12,99.749755859375,117.30999755859375,117.69000244140625,116.77999877929688,116.98999786376953,636700,LIN,0.15367566754598272,118.58199768066406,118.54299926757812
2016-10-13,99.57122039794922,117.0999984741211,117.30999755859375,114.83000183105469,116.29000091552734,669500,LIN,-0.17901209516927308,117.83199768066406,118.48749923706055
2016-10-14,99.63923645019531,117.18000030517578,118.0,117.18000030517578,117.80999755859375,464300,LIN,0.06831924175674242,117.497998046875,118.46249923706054
2016-10-17,99.55419158935547,117.08000183105469,117.33999633789062,116.7300033569336,116.94000244140625,638300,LIN,-0.08533749262729096,117.15999908447266,118.42599945068359
2016-10-18,100.75313568115234,118.48999786376953,118.8499984741211,117.7699966430664,118.38999938964844,726200,LIN,1.2043013415300896,117.43199920654297,118.46999931335449
