Date,Close,High,Low,Open,Volume,Daily_Return,MA5,MA20
2025-07-25,213.03485107421875,214.38947759784276,212.5567368669443,213.85160291428238,40268800,,,
2025-07-28,213.2041778564453,214.00101967144602,212.2180844005514,213.18425263148458,37858000,0.07948313685424147,,
2025-07-29,210.43515014648438,213.96115480223384,209.9869314052821,213.33363944545516,51411700,-1.2987680343794161,,
2025-07-30,208.2239227294922,211.55072076453234,206.89917652304968,211.06265157316113,45512500,-1.0507880529716407,,
2025-07-31,206.7498016357422,209.01082086651627,206.34141808889078,207.66616446381488,80698400,-0.707949919695372,210.32958068847657,
2025-08-01,201.58029174804688,212.73603143542957,200.7037642416869,210.03673342752194,104434500,-2.5003699383485234,208.03866882324218,
2025-08-04,202.5464630126953,207.0585613783641,200.88304868853191,203.70186769022786,75109300,0.4792984751981866,205.9071258544922,
2025-08-05,202.11814880371094,204.52858421879685,201.36115745633876,202.59624780213056,44155100,-0.21146466969286237,204.2437255859375,
2025-08-06,212.40733337402344,214.52892145014,204.77759854868273,204.81744899810374,108483100,5.090678215297206,205.08040771484374,
2025-08-07,219.16053771972656,219.97730473834642,215.7241736307253,218.01508808955717,90224800,3.1793649675039948,207.56255493164062,
2025-08-08,228.4437255859375,230.08719950298993,218.38362983130105,219.95738825778145,113854000,4.235793525056386,212.93524169921875,
2025-08-11,226.53909301757812,228.91238364576833,224.12592192869855,227.27701087414155,61806100,-0.833742561094275,217.7337677001953,
2025-08-12,229.0021209716797,230.14888579943394,226.429412881848,227.36674823663387,55626200,1.0872419065924621,223.11056213378907,
2025-08-13,232.6717529296875,234.33703985510917,229.77992501054072,230.4181341091737,69878500,1.6024445286520361,227.16344604492187,
2025-08-14,232.12330627441406,234.4567012802976,230.19875827485632,233.39969406647393,51916300,-0.23571690519698096,229.75599975585936,
2025-08-15,230.93667602539062,233.61908991261305,228.6930233233153,233.33988101583648,56038700,-0.5112068529734892,230.25458984375,
2025-08-18,230.23863220214844,232.46233685580373,229.46083388892833,231.04634466466607,37476200,-0.30226633346253085,230.99449768066407,
2025-08-19,229.90957641601562,232.21305735738468,228.70299840660482,230.6275464777077,39402600,-0.14291944969683223,231.17598876953124,
2025-08-20,225.3723907470703,229.81981519856654,225.13307755654054,229.33119207499826,42263900,-1.9734652812962383,229.71611633300782,
2025-08-21,224.26551818847656,225.88095827873425,223.14868274098328,225.63166356522294,30621200,-0.4911305040181113,228.14455871582032,218.94817352294922
2025-08-22,227.11746215820312,228.44371192910324,224.77410085849388,225.53195134940427,42477800,1.271681885277487,227.3807159423828,219.65230407714844
2025-08-25,226.5191650390625,228.65312729963858,225.59178073979155,225.84107546750252,30983100,-0.2634306994518387,226.63682250976564,220.31805343627929
2025-08-26,228.6630859375,228.84258604761433,224.05612439304167,226.22996704217394,54575100,0.946463359101557,226.3875244140625,221.22945022583008
2025-08-27,229.8397674560547,230.24859923631865,227.6160475796746,227.96506627689797,31259500,0.5145918125483151,227.28099975585937,222.31024246215821
2025-08-28,231.90391540527344,232.7515235304584,228.692998228932,230.16883391080088,38074700,0.898081290311703,228.80867919921874,223.56794815063478
2025-08-29,231.485107421875,232.7216147258446,230.71727541448905,231.85405874294378,39418400,-0.1805954775134011,229.6822082519531,225.06318893432618
2025-09-02,229.07192993164062,230.19874691737337,226.3296880547272,228.60325464814514,44075600,-1.0424763463666054,230.19276123046876,226.38946228027345
