Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA5,MA20
2016-08-15,122.82144165039062,123.9000015258789,124.91999816894531,123.69999694824219,124.91000366210938,19295100,META,,,
2016-08-16,122.2266616821289,123.30000305175781,123.91999816894531,122.77999877929688,123.5,14222400,META,-0.4842602637061044,,
2016-08-17,123.287353515625,124.37000274658203,124.37999725341797,122.8499984741211,123.66000366210938,13794200,META,0.8678018396926168,,
2016-08-18,122.83135986328125,123.91000366210938,124.26000213623047,123.63999938964844,124.01000213623047,12400800,META,-0.3698633708402843,,
2016-08-19,122.48439025878906,123.55999755859375,124.16000366210938,123.27999877929688,123.5999984741211,11688300,META,-0.28246799545745827,123.80800170898438,
2016-08-22,123.06925964355469,124.1500015258789,124.83000183105469,123.11000061035156,123.33000183105469,14386400,META,0.477504029575071,123.85800170898438,
2016-08-23,123.287353515625,124.37000274658203,125.08999633789062,124.25,124.51000213623047,13309500,META,0.1772059750295485,124.07200164794922,
2016-08-24,122.40510559082031,123.4800033569336,124.69000244140625,123.08999633789062,124.47000122070312,12243700,META,-0.7156061509960066,123.89400177001953,
2016-08-25,122.81151580810547,123.88999938964844,124.37000274658203,123.0999984741211,123.12000274658203,10730800,META,0.3320343550118787,123.89000091552734,
2016-08-26,123.87220764160156,124.95999908447266,125.19000244140625,123.91000366210938,124.05000305175781,17504800,META,0.8636691420579767,124.17000122070313,
2016-08-29,125.43844604492188,126.54000091552734,126.7300033569336,124.3499984741211,124.3499984741211,15925900,META,1.2644060840514282,124.64800109863282,
2016-08-30,124.74454498291016,125.83999633789062,126.5999984741211,125.1500015258789,126.5999984741211,17804300,META,-0.5531883772499802,124.94199981689454,
2016-08-31,125.02210998535156,126.12000274658203,126.22000122070312,125.0999984741211,125.5999984741211,14200600,META,0.22250986716463306,125.46999969482422,
2016-09-01,125.07168579101562,126.16999816894531,126.62999725341797,125.5999984741211,126.37999725341797,13536100,META,0.03964115229504461,125.92599945068359,
2016-09-02,125.4087142944336,126.51000213623047,126.86000061035156,126.0,126.8499984741211,12118800,META,0.2694808371399571,126.23600006103516,
2016-09-06,128.60069274902344,129.72999572753906,129.94000244140625,126.47000122070312,126.66999816894531,26278400,META,2.5452482309194835,126.8739990234375,
2016-09-07,129.9091796875,131.0500030517578,131.97999572753906,129.9499969482422,130.0399932861328,27990800,META,1.0175035594628845,127.91600036621094,
2016-09-08,129.13600158691406,130.27000427246094,131.0800018310547,129.80999755859375,130.9199981689453,15676600,META,-0.595191729212563,128.74600067138672,
2016-09-09,125.99357604980469,127.0999984741211,129.9499969482422,127.0999984741211,129.7100067138672,27100700,META,-2.4334119093983753,128.93200073242187,
2016-09-12,127.56974792480469,128.69000244140625,128.75999450683594,125.75,125.95999908447266,21252800,META,1.2509866139840176,129.36800079345704,125.89550094604492
2016-09-13,126.10261535644531,127.20999908447266,128.35000610351562,126.66000366210938,128.02999877929688,18016200,META,-1.1500530956998434,128.86400146484374,126.06100082397461
2016-09-14,126.6577377319336,127.7699966430664,128.8000030517578,126.88999938964844,126.88999938964844,15691100,META,0.4402150480497191,128.20800018310547,126.28450050354004
